Text,Label
"I'm depressed about this",sad
"I'm delighted right now",happy
"I'm really anxious lately",anxious
"I'm ecstatic",excited
"I'm feeling uneasy right now",anxious
"I'm at peace",calm
"I'm ecstatic lately",happy
"I'm feeling uneasy today",anxious
"I'm ecstatic lately",happy
"Everything is normal right now",neutral
"This is so irritating today",frustrated
"I'm okay with this lately",neutral
"This is annoying",frustrated
"This is so annoying today",frustrated
"I'm feeling gloomy",sad
"I feel calm right now",calm
"I'm losing patience right now",frustrated
"I'm amped up about this",excited
"I'm pumped! lately",excited
"I'm losing patience lately",frustrated
"I'm really upset",angry
"This is amazing! about this",happy
"I'm exhilarated lately",excited
"I'm worried sick",anxious
"I'm feeling quiet lately",calm
"I'm feeling gloomy",sad
"I'm so happy today!",happy
"I'm concerned",anxious
"I'm feeling steady today",calm
"This is thrilling! about this",excited
"I feel calm today",calm
"I'm depressed",sad
"I'm feeling worried about this",anxious
"I'm concerned right now",anxious
"I'm losing patience right now",frustrated
"I feel fine right now",neutral
"I'm losing patience right now",frustrated
"I'm furious about this",angry
"I'm feeling tense about this",anxious
"I'm ecstatic today",excited
"This is exasperating today",frustrated
"Nothing special",neutral
"I'm feeling wonderful right now",happy
"I'm on cloud nine lately",happy
"This is so irritating today",frustrated
"I'm livid about this",angry
"I feel balanced today",calm
"I'm okay",neutral
"Nothing much lately",neutral
"This irritates me",frustrated
"I feel empty inside",sad
"This is maddening today",frustrated
"I feel miserable right now",sad
"I'm irritated today",angry
"I'm feeling steady today",calm
"I feel hopeless today",sad
"I'm ecstatic about this",excited
"I'm elated",excited
"Everything is normal about this",neutral
"I'm feeling steady lately",calm
"This gives me anxiety today",anxious
"I'm getting frustrated about this",frustrated
"I'm losing patience about this",frustrated
"I'm really excited right now",excited
"I'm pumped! today",excited
"I'm upset right now",sad
"I'm feeling serene about this",calm
"I'm feeling blue right now",sad
"I'm nervous about this about this",anxious
"I feel hopeless about this",sad
"I'm delighted right now",happy
"I'm losing patience lately",frustrated
"This is exciting!",excited
"I'm feeling tense right now",anxious
"This is so disappointing today",sad
"I'm okay today",neutral
"I'm really frustrated lately",frustrated
"I'm feeling placid",calm
"This is so irritating",frustrated
"This makes me sad right now",sad
"I'm concerned today",anxious
"I'm thrilled about this about this",excited
"I'm frustrated lately",frustrated
"I feel joyful today",happy
"I feel tranquil",calm
"I feel anxious right now",anxious
"I'm fed up today",frustrated
"I'm exhilarated about this",excited
"This is amazing! about this",happy
"I'm furious about this lately",angry
"This is maddening right now",frustrated
"I'm livid about this",angry
"I'm upset today",sad
"I'm worried sick lately",anxious
"This is so irritating today",frustrated
"I'm irritated today",angry
"I feel fine",neutral
"I'm ecstatic about this",happy
"I'm frustrated about this",angry
"I'm ecstatic today",excited
"I'm relaxed today",calm
"I'm thrilled about this today",excited
"I'm thrilled!",happy
"I'm really annoyed right now",frustrated
"I'm concerned lately",anxious
"I'm feeling great! lately",happy
"This is heartbreaking right now",sad
"Everything is fine",neutral
"This is so irritating",angry
"I'm feeling frustrated right now",frustrated
"I'm ecstatic about this",excited
"I feel fine today",neutral
"I'm thrilled about this today",excited
"I'm so stoked",excited
"I feel joyful today",happy
"I'm feeling quiet about this",calm
"I'm elated today",excited
"I'm elated about this",excited
"I'm okay lately",neutral
"I feel normal today",neutral
"I feel awful about this",sad
"I feel neutral",neutral
"I'm at peace lately",calm
"I'm so happy today! right now",happy
"I feel joyful",happy
"Nothing special lately",neutral
"I'm thrilled about this right now",excited
"I'm really excited today",excited
"This is maddening today",frustrated
"I'm feeling okay lately",neutral
"I'm feeling worried lately",anxious
"I'm ecstatic about this",excited
"I'm really worried about this",anxious
"I'm feeling low lately",sad
"I'm feeling quiet lately",calm
"I'm irritated about this",angry
"I'm feeling placid",calm
"I feel terrible about this",sad
"I'm feeling blue today",sad
"I'm amped up right now",excited
"I feel fine about this",neutral
"I'm depressed today",sad
"This makes me sad today",sad
"I feel down about this",sad
"I'm upset about this",sad
"I'm alright about this",neutral
"This makes me happy today",happy
"I'm okay with this about this",neutral
"I'm really excited today",excited
"I feel fantastic! about this",happy
"I'm annoyed today",angry
"I feel tranquil today",calm
"I can't wait!",excited
"I'm feeling steady lately",calm
"I'm frustrated lately",angry
"This is heartbreaking today",sad
"I'm feeling blue lately",sad
"I'm alright today",neutral
"I'm really excited today",excited
"I'm getting frustrated lately",frustrated
"I'm losing patience right now",frustrated
"I'm feeling steady about this",calm
"I'm panicking about this",anxious
"I'm exhilarated lately",excited
"This is so frustrating! right now",frustrated
"I'm really frustrated about this",frustrated
"I'm losing patience today",frustrated
"I'm furious about this today",angry
"I'm on cloud nine about this",happy
"This makes me nervous lately",anxious
"This makes me furious about this",angry
"I'm exhilarated lately",excited
"This makes me happy today",happy
"I'm feeling uneasy about this",anxious
"I feel awful about this",sad
"I feel tranquil today",calm
"This makes me sad about this",sad
"I'm losing patience lately",frustrated
"I'm feeling low right now",sad
"I'm really frustrated about this",frustrated
"I feel hopeless",sad
"I'm upset lately",sad
"I'm feeling worried today",anxious
"I'm concerned",anxious
"I'm okay with this about this",neutral
"I'm really upset right now",angry
"I'm fed up lately",frustrated
"I have anxiety lately",anxious
"I feel normal about this",neutral
"I'm frustrated today",angry
"I'm so stoked about this",excited
"I'm relaxed right now",calm
"I'm relaxed today",calm
"I'm furious about this",angry
"I'm seething right now",angry
"I'm really worried today",anxious
"I'm frustrated today",frustrated
"I'm feeling sad lately",sad
"I'm buzzing with excitement",excited
"I feel at ease today",calm
"I'm ecstatic lately",happy
"I'm delighted about this",happy
"This is so irritating lately",angry
"This is amazing! about this",happy
"I'm annoyed",angry
"This makes me nervous right now",anxious
"I feel calm right now",calm
"This is heartbreaking lately",sad
"I'm feeling gloomy right now",sad
"I feel anxious about this",anxious
"I'm so stoked right now",excited
"I'm getting frustrated today",frustrated
"Everything is fine",neutral
"I'm so stoked",excited
"This is so irritating today",frustrated
"I'm irritated lately",angry
"I'm feeling zen right now",calm
"I'm stressed out about this",anxious
"I feel terrible about this",sad
"I'm so pleased",happy
"I'm feeling tense about this",anxious
"I'm feeling uneasy lately",anxious
"I'm depressed lately",sad
"I'm livid about this",angry
"I feel normal right now",neutral
"I'm feeling wonderful about this",happy
"I'm feeling tense lately",anxious
"I feel relaxed and calm about this",calm
"I feel empty inside lately",sad
"I'm getting frustrated right now",frustrated
"I feel miserable right now",sad
"I'm okay lately",neutral
"I'm thrilled about this today",excited
"This irritates me",frustrated
"This irritates me today",frustrated
"This makes me rage right now",angry
"This is so irritating today",angry
"I'm indifferent",neutral
"I'm relaxed right now",calm
"This makes me furious today",angry
"I'm livid about this",angry
"I'm feeling blue",sad
"This is so irritating about this",frustrated
"I'm exhilarated lately",excited
"This is maddening today",frustrated
"I feel awful today",sad
"This is awesome! right now",excited
"I'm panicking about this",anxious
"I'm fed up lately",frustrated
"I'm relaxed right now",calm
"I'm feeling mellow lately",calm
"I feel hopeless today",sad
"I'm feeling wonderful lately",happy
"I'm feeling quiet",calm
"I'm livid",angry
"This makes me sad about this",sad
"I'm frustrated lately",angry
"This makes me sad right now",sad
"I feel average today",neutral
"I'm feeling sad",sad
"I'm okay about this",neutral
"I'm doing okay",neutral
"This is so irritating",frustrated
"I'm furious about this",angry
